,Proviences,Size_Total,Mean_Download_Speed,std_Download_Speed,Mean_Upload_Speed,STD_Upload_Speed,Crt_Size_Total,Crt_Mean_Download_Speed,Crt_std_Download_Speed,Crt_Mean_Up_Speed,Crt_std_Up_Speed
0,Alberta,46933,88.96021988792533,99.17956384499013,33.1745893081627,51.97697170026848,28645,27.33587013440391,29.772996996287137,6.9576889509513,8.556511665388173
1,British Columbia / Colombie-Britannique,37060,150.56683756071237,124.43620829806356,64.35523475445224,72.66296834150236,11520,30.925173611111113,34.779704939138185,9.908246527777777,12.759966261843074
2,Manitoba,20194,81.4363177181341,86.90882060712171,31.95949291868872,59.41370261560788,12260,30.634502446982054,33.20278741634655,6.107259380097879,11.330833727555573
3,New Brunswick / Nouveau-Brunswick,13229,141.91571547358078,138.2999388068952,39.408723259505635,58.84546977528079,5370,28.7415270018622,38.4684035804989,5.584171322160149,11.586165687753782
4,Newfoundland and Labrador / Terre-Neuve-et-Labrador,6747,141.5565436490292,120.60824403535239,43.76685934489403,63.201957564044605,2912,56.487293956043956,81.85699742921526,5.6198489010989015,8.362948760226168
5,Northwest Territories / Territoires du Nord-Ouest,381,67.4251968503937,52.3141099541041,19.385826771653544,32.12796304027508,188,29.98936170212766,28.43154634201038,7.648936170212766,9.970767376223876
6,Nova Scotia / Nouvelle-Écosse,15962,129.1145219897256,115.59178919294712,46.40170404711189,65.87610676009685,6678,43.063192572626534,63.232725819843566,6.681341719077568,10.638982233519037
7,Nunavut,87,15.25287356321839,29.99465781536059,3.5402298850574714,9.317156714838704,83,10.19277108433735,8.20091879344715,2.819277108433735,8.744537777062295
8,Ontario,108300,89.65019390581718,101.87247418581607,29.222068328716528,56.63142652878176,64688,25.320090279495425,31.40565181743192,4.632667573583972,7.768829703636957
9,Prince Edward Island / Île-du-Prince-Édouard,4358,96.89765947682423,101.60728103064666,42.96994033960532,78.79768876344359,2438,34.65094339622642,50.5821098514594,5.5672682526661195,9.595864671632867
10,Quebec / Québec,70612,107.64561264374328,103.97707719242163,54.96687531864272,79.80489793788698,28832,25.319575471698112,23.588259825213097,8.035238623751388,11.229479834563579
11,Saskatchewan,14539,65.83809065272715,73.25927590939075,19.392117752252563,36.45588579842124,9600,27.183541666666667,29.187405432072307,4.6753125,6.9740410505007855
12,Yukon,470,45.706382978723404,49.14678160917133,8.827659574468084,18.49145716578712,332,21.80421686746988,24.056471458264877,4.855421686746988,9.106463333479114
